"pid","commentsText"
"2089","god gift?#+@2013 12 30T06:53:46+0000Hello where is my Google Nexus 7 2012 Tablet    It already OD31230014172  Please delivery the tablet for this time 
I never visit Flipkart next time  This 10 mail to people    ?#+@2014 01 03T20:13:38+0000none?#+@2013 12 30T06:50:47+0000The Worst service i have ever came accross  when ever i ordered a product and it is delivered on time and the ekart guy calls me many time that he is comming with the product but to pick up a defective item they are making so much delay and today a non sense reson was updated that my doors were closed can flipkart answer me that why i didnt receive any calls when the pickup guy was here  and for deleiveriy i never got such status that unable to pickup doors were closed  flipkart stop fooling innocent customers 26000 Rs is not a joke i have already emailed you guys my consumer forum complaint ref no and i have also updated them this act of flipkart so its better to windup this game here and pick up this defective fone crap and refund my money back
my email id   yadavashok@live com

Chat Ref No : 140102 020495

Complaint no : 140 107027905
: 140 110 019875?#+@2014 01 10T16:08:48+0000Outshiny Teen Pack 2 Os57  Campus 25 L Free Size Backpack
provide some discount on this?#+@2013 12 30T08:02:15+0000none            I buy only books on flipkart       ?#+@2013 12 30T07:15:20+0000"
"2090","Dhannjay bhai NAYA SAAL MUBARAK HO ?#+@2014 01 01T13:49:31+0000I share Mr Anils comments?#+@2013 12 30T10:37:38+0000The Worst service i have ever came accross  when ever i ordered a product and it is delivered on time and the ekart guy calls me many time that he is comming with the product but to pick up a defective item they are making so much delay and today a non sense reson was updated that my doors were closed can flipkart answer me that why i didnt receive any calls when the pickup guy was here  and for deleiveriy i never got such status that unable to pickup doors were closed  flipkart stop fooling innocent customers 26000 Rs is not a joke i have already emailed you guys my consumer forum complaint ref no and i have also updated them this act of flipkart so its better to windup this game here and pick up this defective fone crap and refund my money back
my email id   yadavashok@live com

Chat Ref No : 140102 020495

Complaint no : 140 107027905
: 140 110 019875?#+@2014 01 10T16:08:52+00006?#+@2014 01 01T17:10:24+0000happy new year ra lachhi?#+@2014 01 01T13:08:38+0000WORST CUSTOMER SERVICES: very annoyed with the way your customer service department handles customers problem   such a irresponsible crowd of people who do not give full information about the things  really disappointed with the assistance?#+@2013 12 29T09:05:57+0000Hello where is my Google Nexus 7 2012 Tablet    It already OD31230014172  Please delivery the tablet for this time 
I never visit Flipkart next time  This 10 mail to people    ?#+@2014 01 03T20:13:45+0000like?#+@2014 01 01T17:53:21+0000Mohammed Mujadid?#+@2014 01 01T18:33:12+0000"
"2093","That has happened to me when I ordered Nexus 4 during Durga Puja  My order was bot cancelled but never shipped  I made several inquiries via email  They did apologize for the delay and placed a fresh order which again was never delivered  The whole drama wasted about 2 3 weeks of my time and patience  Finally I had to cancel the order which leaves me so disappointed  You can never tell these days  Sometimes your order will get to you in time without any complications  sometimes it will be all messed up   its like they don t want to sell you the item  There were also a few times when a product would be wrongly priced and if you order they ll call up and tell you that the price on their webpage is wrong  Really funny  My online shopping destination used to be only flipkart but I m now ordering from them only if there s no alternative site or too pricey on other sites ?#+@2013 12 27T11:31:55+0000The Worst service i have ever came accross  when ever i ordered a product and it is delivered on time and the ekart guy calls me many time that he is comming with the product but to pick up a defective item they are making so much delay and today a non sense reson was updated that my doors were closed can flipkart answer me that why i didnt receive any calls when the pickup guy was here  and for deleiveriy i never got such status that unable to pickup doors were closed  flipkart stop fooling innocent customers 26000 Rs is not a joke i have already emailed you guys my consumer forum complaint ref no and i have also updated them this act of flipkart so its better to windup this game here and pick up this defective fone crap and refund my money back
my email id   yadavashok@live com

Chat Ref No : 140102 020495

Complaint no : 140 107027905
: 140 110 019875?#+@2014 01 10T16:09:00+0000can i get the addresss of fllipkart s raja bazaar hub?#+@2013 12 28T02:17:40+0000after my yesterday s complain f***** msg me that send your order Id I sent it but no reply after that 
these F***** s dont have time to reply

I invite all the people who have complains against these F***** s 

please contact me I will go to consumer court and file a complain against them

please contact me on biplavmehta@gmail com or call on 09342513728

Please support me n help yourself?#+@2013 12 27T17:55:40+0000They can do one thing that is nothing?#+@2013 12 27T12:53:37+0000I ordered a product on 21st December 2013(it is a present for someone) as per the website it says it will be delivered in 3 days max and max to max by 26th but when I had a word with there customer care representative he told me to wait for ext 4 days and the best part it it has to be delivered in Delhi it is already in the city but cant be shipped due to an unknown reason as per flipkart and when you call them they will put your call on long hold then they?ll disconnect it as there is no point of giving extra 90 bugs I have ordered one more product as a x mas gift which is yet to be delivered however it still says it is Delhi and Indiaontime is such a looser courier agency that they like to keep products instead of delivering

ODER ID OD31221003679 

COMPLAINT NO 131227022960 

AWB NO 70019828594?#+@2013 12 27T12:24:54+0000Flipkart is the worst possible website to shop online  Never ever place an order with Flipkart  I ordered a gift for my family which did not get delivered and got CANCELLED on it s own   With multiple requests and follow ups I was told by a completely useless bunch of customer care executives that it will be RE DELIVERED within 24 hours  Upon no delivery  I got in touch with the customer helpline executives (who are of NO help) and was told that my order WILL NOT BE delivered and it is cancelled?  ??   I was asked to place a fresh order when the product is not even available on their website anymore  NEVER ORDER FROM FLIPKART  The service is horrible and no one takes responsibility for anything  USELESS ?#+@2013 12 27T10:49:41+0000Special Offers: Buy 2 Get 1 Free All Branded Products
Coupon Code: No Code Required
Validity: Till Stock Last
Click Here #http://bit ly/1cXGNSS?#+@2013 12 28T06:17:51+0000Hi 

My order no  is OD31225043313 (micromax mobile)  I haven?t receved my order yet  my order should have reached by today 
 (27 12 13) you have charged 90rs for speed delivery  Could someone please look into it very bad service 
my no: 9841205628  
Address: 76 school road chetpet chennai 600031?#+@2013 12 27T15:31:33+0000http://www squarenbooks com/ 
Brand New  Buy with confidence textbook wrapped neatly in a tip top condition  Orders ship the same or next business day  Buy with confidence  Excellent Customer Service  Contact Customer Service for questions ?#+@2013 12 27T22:27:45+0000"
"2097","after my yesterday s complain f***** msg me that send your order Id I sent it but no reply after that 
these F***** s dont have time to reply

I invite all the people who have complains against these F***** s 

please contact me I will go to consumer court and file a complain against them

please contact me on biplavmehta@gmail com or call on 09342513728

Please support me n help yourself?#+@2013 12 27T17:56:36+0000Order at your own risk and do not complaint if Flipkart fails to execute your order  No one cares to hear your complaints at Flipkart  Our order OD31023085254 pending for >30 days (Order date:23/10/13)  If your don t believe  see for yourself whether Flipkart responds to this post    ?#+@2013 12 26T11:22:08+0000Vu 42D6475 kolkata pe delivery nahi ho raha hai   (Kol 700135) Customer ka dard nahi samjhta hain flipkart  kab milega kolkata pe? 10bar customer care pe call kiya hain  fir bhi koi response nahi    please flipkart de do 1pc please     ?#+@2015 05 16T07:23:32+0000The Worst service i have ever came accross  when ever i ordered a product and it is delivered on time and the ekart guy calls me many time that he is comming with the product but to pick up a defective item they are making so much delay and today a non sense reson was updated that my doors were closed can flipkart answer me that why i didnt receive any calls when the pickup guy was here  and for deleiveriy i never got such status that unable to pickup doors were closed  flipkart stop fooling innocent customers 26000 Rs is not a joke i have already emailed you guys my consumer forum complaint ref no and i have also updated them this act of flipkart so its better to windup this game here and pick up this defective fone crap and refund my money back
my email id   yadavashok@live com

Chat Ref No : 140102 020495

Complaint no : 140 107027905
: 140 110 019875?#+@2014 01 10T16:09:12+0000In Kolkata  I never faced any problems yet  But  each time I ordered  I had chosen WS Retail as the seller  Don t know about any other sellers  BTW  the ekart people are fine here ?#+@2013 12 29T08:45:07+0000I ordered a product on 21st December 2013(it is a present for someone) as per the website it says it will be delivered in 3 days max and max to max by 26th but when I had a word with there customer care representative he told me to wait for ext 4 days and the best part it it has to be delivered in Delhi it is already in the city but cant be shipped due to an unknown reason as per flipkart and when you call them they will put your call on long hold then they?ll disconnect it as there is no point of giving extra 90 bugs I have ordered one more product as a x mas gift which is yet to be delivered however it still says it is Delhi and Indiaontime is such a looser courier agency that they like to keep products instead of delivering

ODER ID OD31221003679 

COMPLAINT NO 131227022960 

AWB NO 70019828594?#+@2013 12 27T12:25:15+0000Flipkart is the worst possible website to shop online  Never ever place an order with Flipkart  I ordered a gift for my family which did not get delivered and got CANCELLED on it s own   With multiple requests and follow ups I was told by a completely useless bunch of customer care executives that it will be RE DELIVERED within 24 hours  Upon no delivery  I got in touch with the customer helpline executives (who are of NO help) and was told that my order WILL NOT BE delivered and it is cancelled?  ??   I was asked to place a fresh order when the product is not even available on their website anymore  NEVER ORDER FROM FLIPKART  The service is horrible and no one takes responsibility for anything  USELESS ?#+@2013 12 27T10:50:10+0000Flipkart customer service is so careless  Waiting for the refund of an order  OD31215095310 for 11 days  Every time I contacted they are telling excuses  No actions have been taken ?#+@2013 12 27T08:46:05+0000flipkart is scam because they are sending drunk people of ekart logistics for delivering products and this flipkart idiotic delivery guy is fighting with me and saying all rubbish bad words and also i have send this below message to flipkart and now lets see flipkart is taking against to that delivery guy or not  

This is message which have send to flipkart

  Your ekart logistics delivery guys are doing fraudulent with you and as well as with customers  
Delivery Guy are doing Fraudulent in this way that when the customer is ordering any products and at the delivery time when the customer is not taking any product for cash on delivery than at that time they are selling that product in market to other party ( Shopkeeper ) at 100 or 200 rs additional rate per products and i am saying you this because i have order an laptop with Order ID: OD31225092299 and at 26 12 2013 around 5:50 to 6:10 your logistic guy has came to my shop for shipment and at that time your logistic guy said rubbish word   bad words as if they want to fight with me and doing all type of rowdy giri and this words are too bad to say and also they have not given my laptop which i have order they said me bad words and just went away   So i want you to take serious action on that guy  and i am in the same market were your logistic guy is selling your product at higher price
hiteshj98041@gmail com
Tracking id : WSRC2950137107  ?#+@2013 12 26T13:08:38+0000"
"2103","I ordered a product on 21st December 2013(it is a present for someone) as per the website it says it will be delivered in 3 days max and max to max by 26th but when I had a word with there customer care representative he told me to wait for ext 4 days and the best part it it has to be delivered in Delhi it is already in the city but cant be shipped due to an unknown reason as per flipkart and when you call them they will put your call on long hold then they?ll disconnect it as there is no point of giving extra 90 bugs I have ordered one more product as a x mas gift which is yet to be delivered however it still says it is Delhi and Indiaontime is such a looser courier agency that they like to keep products instead of delivering

ODER ID OD31221003679 

COMPLAINT NO 131227022960 

AWB NO 70019828594?#+@2013 12 27T12:25:53+0000nice?#+@2014 01 01T05:49:49+0000(Dated: 11 09 2013) Nikon : Please note that FLIPKART (FLIPKART INTERNET PRIVATE LIMITED)
 and SNAPDEAL (JASPAR INFOTECH PRIVATE LIMITED) are not our authorized partner/dealer in India for Nikon product ?#+@2014 01 09T06:17:04+0000I used this offer to buy my Sony Xperia Z1  I just hope the cash back is promised by HDFC ?#+@2014 01 01T07:15:52+0000after my yesterday s complain f***** msg me that send your order Id I sent it but no reply after that 
these F***** s dont have time to reply

I invite all the people who have complains against these F***** s 

please contact me I will go to consumer court and file a complain against them

please contact me on biplavmehta@gmail com or call on 09342513728

Please support me n help yourself?#+@2013 12 27T17:58:03+0000flipkart is scam because they are sending drunk people of ekart logistics for delivering products and this flipkart idiotic delivery guy is fighting with me and saying all rubbish bad words and also i have send this below message to flipkart and now lets see flipkart is taking against to that delivery guy or not and my mobile number name mankesh    number 09619015189

This is message which have send to flipkart

  Your ekart logistics delivery guys are doing fraudulent with you and as well as with customers  
Delivery Guy are doing Fraudulent in this way that when the customer is ordering any products and at the delivery time when the customer is not taking any product for cash on delivery than at that time they are selling that product in market to other party ( Shopkeeper ) at 100 or 200 rs additional rate per products and i am saying you this because i have order an laptop with Orden0and at 26 12 2013 around 5:50 to 6:10 your logistic guy has came to my shop for shipment and at that time your logistic guy said rubbish word   bad words as if they want to fight with me and doing all type of rowdy giri and this words are too bad to say and also they have not given my laptop which i have order they said me bad words and just went away   So i want you to take serious action on that guy  and i am in the same market were your logistic guy is selling your product at higher price
hiteshj98041@gmail com
Tracking id : WSRC2950137107  ?#+@2013 12 26T13:28:12+0000aaye    aaye    aaye   flipkart com aaye    aaye    aaye   flipkart com
ppl flipakrt is a fraud website   cheating customers   my frneds gave 3flipakrt egvs which he got from payzippy and i use them on their site and placing a order  but after 1 day they cancelled my order   they took my egvs and rest of money i paid for free shipping  flipkart says ur egvs are illegal they cant b transferable to u  
ppl my frnd got these egvs from PAYZIPPY COM where they clearly mentioned these r tranferable and flipkart will be no responisible for stolen or lost egvs  
Y they bothered how i got egvs it s not their problem and 2nd thing they keep telling me only my friend can use it but egvs are transferable 
when i contacted them on phone and email they said our legal team is working on it and it will be clear to you in 1 2days but its been 4 5days they kept telling me the same thing and now stop replying my mails too   

so beware guys dont buy anything from flipkart com  if any of u dont believe it then i can also show gmail conversations    ?#+@2013 12 26T00:50:44+0000Cash back before March 5th?? You got to be kidding ?#+@2013 12 24T14:52:05+0000good?#+@2014 01 01T07:12:45+0000Mohammed Mujadid?#+@2013 12 27T14:52:37+0000"
"2104","Terrible service   Lot of room for improvement in their service  Their customer service executives tell lies shamelessly   ?#+@2013 12 25T10:50:09+0000after my yesterday s complain f***** msg me that send your order Id I sent it but no reply after that 
these F***** s dont have time to reply

I invite all the people who have complains against these F***** s 

please contact me I will go to consumer court and file a complain against them

please contact me on biplavmehta@gmail com or call on 09342513728

Please support me n help yourself?#+@2013 12 27T17:58:16+0000I ordered a product on 21st December 2013(it is a present for someone) as per the website it says it will be delivered in 3 days max and max to max by 26th but when I had a word with there customer care representative he told me to wait for ext 4 days and the best part it it has to be delivered in Delhi it is already in the city but cant be shipped due to an unknown reason as per flipkart and when you call them they will put your call on long hold then they?ll disconnect it as there is no point of giving extra 90 bugs I have ordered one more product as a x mas gift which is yet to be delivered however it still says it is Delhi and Indiaontime is such a looser courier agency that they like to keep products instead of delivering

ODER ID OD31221003679 

COMPLAINT NO 131227022960 

AWB NO 70019828594?#+@2013 12 27T12:25:58+0000i logged into twitter after a long time and flipkart made it possible :P?#+@2013 12 25T06:42:57+0000what happened flipkart ? you have proved that you does not listen customers complaint  Since last 4 month I am waiting to resolve my complaint with your service partner and you are also not giving solution since last one week  how can one believe on  you?#+@2013 12 24T18:02:21+0000instead of launching offers for new customers  first pls try improve ur service for existing customer  once customer is lost he is lost for ever   ?#+@2013 12 24T13:43:26+0000grab it?#+@2013 12 24T07:10:03+0000aaye    aaye    aaye   flipkart com aaye    aaye    aaye   flipkart com
ppl flipakrt is a fraud website   cheating customers   my frneds gave 3flipakrt egvs which he got from payzippy and i use them on their site and placing a order  but after 1 day they cancelled my order   they took my egvs and rest of money i paid for free shipping  flipkart says ur egvs are illegal they cant b transferable to u  
ppl my frnd got these egvs from PAYZIPPY COM where they clearly mentioned these r tranferable and flipkart will be no responisible for stolen or lost egvs  
Y they bothered how i got egvs it s not their problem and 2nd thing they keep telling me only my friend can use it but egvs are transferable 
when i contacted them on phone and email they said our legal team is working on it and it will be clear to you in 1 2days but its been 4 5days they kept telling me the same thing and now stop replying my mails too   

so beware guys dont buy anything from flipkart com  if any of u dont believe it then i can also show gmail conversations    ?#+@2013 12 26T00:50:52+0000"
"2105","Davendra Sohaya Richa D Sohaya Mswami Raj?#+@2013 12 24T04:50:17+0000after my yesterday s complain f***** msg me that send your order Id I sent it but no reply after that 
these F***** s dont have time to reply

I invite all the people who have complains against these F***** s 

please contact me I will go to consumer court and file a complain against them

please contact me on biplavmehta@gmail com or call on 09342513728

Please support me n help yourself?#+@2013 12 27T17:58:33+0000I ordered a product on 21st December 2013(it is a present for someone) as per the website it says it will be delivered in 3 days max and max to max by 26th but when I had a word with there customer care representative he told me to wait for ext 4 days and the best part it it has to be delivered in Delhi it is already in the city but cant be shipped due to an unknown reason as per flipkart and when you call them they will put your call on long hold then they?ll disconnect it as there is no point of giving extra 90 bugs I have ordered one more product as a x mas gift which is yet to be delivered however it still says it is Delhi and Indiaontime is such a looser courier agency that they like to keep products instead of delivering

ODER ID OD31221003679 

COMPLAINT NO 131227022960 

AWB NO 70019828594?#+@2013 12 27T12:26:09+0000what happened flipkart ? you have proved that you does not listen customers complaint  Since last 4 month I am waiting to resolve my complaint with your service partner and you are also not giving solution since last one week  how can one believe on  you?#+@2013 12 24T18:02:36+0000instead of offering discounts & offer  offer quality service & quality product  People will definitely buy from u      worst service ever    pls dont buy  anything  ?#+@2013 12 24T13:48:26+0000"
"2108","what happened flipkart ? you have proved that you does not listen customers complaint  Since last 4 month I am waiting to resolve my complaint with your service partner and you are also not giving solution since last one week  how can one believe on  you?#+@2013 12 24T18:02:58+0000after my yesterday s complain f***** msg me that send your order Id I sent it but no reply after that 
these F***** s dont have time to reply

I invite all the people who have complains against these F***** s 

please contact me I will go to consumer court and file a complain against them

please contact me on biplavmehta@gmail com or call on 09342513728

Please support me n help yourself?#+@2013 12 27T17:59:02+0000I ordered a product on 21st December 2013(it is a present for someone) as per the website it says it will be delivered in 3 days max and max to max by 26th but when I had a word with there customer care representative he told me to wait for ext 4 days and the best part it it has to be delivered in Delhi it is already in the city but cant be shipped due to an unknown reason as per flipkart and when you call them they will put your call on long hold then they?ll disconnect it as there is no point of giving extra 90 bugs I have ordered one more product as a x mas gift which is yet to be delivered however it still says it is Delhi and Indiaontime is such a looser courier agency that they like to keep products instead of delivering

ODER ID OD31221003679 

COMPLAINT NO 131227022960 

AWB NO 70019828594?#+@2013 12 27T12:26:20+0000aaye    aaye    aaye   flipkart com aaye    aaye    aaye   flipkart com
ppl flipakrt is a fraud website   cheating customers   my frneds gave 3flipakrt egvs which he got from payzippy and i use them on their site and placing a order  but after 1 day they cancelled my order   they took my egvs and rest of money i paid for free shipping  flipkart says ur egvs are illegal they cant b transferable to u  
ppl my frnd got these egvs from PAYZIPPY COM where they clearly mentioned these r tranferable and flipkart will be no responisible for stolen or lost egvs  
Y they bothered how i got egvs it s not their problem and 2nd thing they keep telling me only my friend can use it but egvs are transferable 
when i contacted them on phone and email they said our legal team is working on it and it will be clear to you in 1 2days but its been 4 5days they kept telling me the same thing and now stop replying my mails too   

so beware guys dont buy anything from flipkart com  if any of u dont believe it then i can also show gmail conversations    ?#+@2013 12 26T00:52:04+0000xooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooor?#+@2013 12 23T08:34:26+0000"
"2109","flipkart com Is A Company Which Gives The Highest Discount In Comparison To It s Other Competitor Counterpart s 

However  Based On My Personal Experience  They Sell Product s Of Brands Which Are QA Rejected & Are Adamant In Providing The Solution Desired After Selling The Low Standard Products & The Customer Care Agrees With The Same 

YOU ARE COMMITTING A MAJOR BLATANT CRIME BY BEING UNFAIR TO PEOPLE  Binny Bansal & Sachin Bansal  

MIGHTY SHAME    ?#+@2013 12 24T07:29:25+0000I ordered a product on 21st December 2013(it is a present for someone) as per the website it says it will be delivered in 3 days max and max to max by 26th but when I had a word with there customer care representative he told me to wait for ext 4 days and the best part it it has to be delivered in Delhi it is already in the city but cant be shipped due to an unknown reason as per flipkart and when you call them they will put your call on long hold then they?ll disconnect it as there is no point of giving extra 90 bugs I have ordered one more product as a x mas gift which is yet to be delivered however it still says it is Delhi and Indiaontime is such a looser courier agency that they like to keep products instead of delivering

ODER ID OD31221003679 

COMPLAINT NO 131227022960 

AWB NO 70019828594?#+@2013 12 27T12:26:25+0000its a cheat company  i pirchased tablet  its defective  the are blamming me for produt damage?#+@2013 12 23T19:01:08+0000after my yesterday s complain f***** msg me that send your order Id I sent it but no reply after that 
these F***** s dont have time to reply

I invite all the people who have complains against these F***** s 

please contact me I will go to consumer court and file a complain against them

please contact me on biplavmehta@gmail com or call on 09342513728

Please support me n help yourself?#+@2013 12 27T17:59:39+0000nice?#+@2013 12 22T11:32:58+0000the classic   ;)?#+@2013 12 22T10:15:06+0000"
"2110","I ordered a product on 21st December 2013(it is a present for someone) as per the website it says it will be delivered in 3 days max and max to max by 26th but when I had a word with there customer care representative he told me to wait for ext 4 days and the best part it it has to be delivered in Delhi it is already in the city but cant be shipped due to an unknown reason as per flipkart and when you call them they will put your call on long hold then they?ll disconnect it as there is no point of giving extra 90 bugs I have ordered one more product as a x mas gift which is yet to be delivered however it still says it is Delhi and Indiaontime is such a looser courier agency that they like to keep products instead of delivering

ODER ID OD31221003679 

COMPLAINT NO 131227022960 

AWB NO 70019828594?#+@2013 12 27T12:26:32+0000flipkart com Is A Company Which Gives The Highest Discount In Comparison To It s Other Competitor Counterpart s 

However  Based On My Personal Experience  They Sell Product s Of Brands Which Are QA Rejected & Are Adamant In Providing The Solution Desired After Selling The Low Standard Products & The Customer Care Agrees With The Same 

YOU ARE COMMITTING A MAJOR BLATANT CRIME BY BEING UNFAIR TO PEOPLE  Binny Bansal & Sachin Bansal  

MIGHTY SHAME    ?#+@2013 12 24T07:29:32+0000thanks flipkart com?#+@2013 12 22T07:24:45+0000after my yesterday s complain f***** msg me that send your order Id I sent it but no reply after that 
these F***** s dont have time to reply

I invite all the people who have complains against these F***** s 

please contact me I will go to consumer court and file a complain against them

please contact me on biplavmehta@gmail com or call on 09342513728

Please support me n help yourself?#+@2013 12 27T17:59:52+0000"
